ticker,dir,action,price,effect
KXNCAAWBGAME-26FEB10ISUBYU-BYU,yes,open,0.95,0
KXNCAAMBGAME-26FEB10WISILL-ILL,no,open,0.96,0
KXNCAAMBGAME-26FEB10WISILL-ILL,no,close,1,0.04
KXNBAGAME-26FEB10LACHOU-HOU,yes,close,1,0.05
KXNBAGAME-26FEB10INDNYK-NYK,no,close,1,0.03
KXNCAAMBGAME-26FEB10EIUWIU-WIU,yes,close,1,0.05
KXNCAAMBGAME-26FEB10ARKLSU-LSU,no,close,1,0.05
KXNCAAMBGAME-26FEB10HOUUTAH-UTAH,no,close,1,0.05
KXNCAAWBGAME-26FEB10UNTRICE-RICE,yes,open,0.96,0
KXNBAGAME-26FEB10SASLAL-LAL,no,open,0.96,0
KXNCAAMBGAME-26FEB10OKSTASU-ASU,yes,open,0.98,0
KXNCAAWBGAME-26FEB10ISUBYU-BYU,yes,close,1,0.05
KXNCAAMBGAME-26FEB10CSUAFA-AFA,no,close,1,0.05
KXNCAAMBGAME-26FEB10FRESUSU-USU,yes,close,1,0.04
KXNCAAMBGAME-26FEB10DUKEPITT-PITT,no,close,1,0.04
KXNCAAMBGAME-26FEB10SJSUUNLV-UNLV,yes,open,0.95,0
KXNCAAWBGAME-26FEB10UNTRICE-RICE,yes,close,1,0.04
KXNBAGAME-26FEB10DALPHX-PHX,yes,close,1,0.05
KXNCAAMBGAME-26FEB10OKSTASU-ASU,yes,close,1,0.02
KXNCAAMBGAME-26FEB10SJSUUNLV-UNLV,yes,close,0.79,-0.16
